일자,시가,고가,저가,종가,거래량
20200107,55700,56400,55600,55800,9893846
20200106,54900,55600,54600,55500,10278951
20200103,56000,56600,54900,55500,15422255
20200102,55500,56000,55000,55200,12993228
20191230,56200,56600,55700,55800,8356767
20191227,55700,56900,55500,56500,12313056
20191226,54700,55400,54400,55400,9645034
20191224,55600,55700,54800,55000,11868463
20191223,56100,56400,55100,55500,9839252
20191220,56100,56500,55600,56000,12095519
20191219,57000,57300,55500,56000,14180520
20191218,56700,57200,56000,56300,15558208
20191217,55800,56700,55400,56700,19358433
20191216,54500,54900,54300,54700,11512405
20191213,54500,54800,53900,54700,18120261
20191212,53000,53300,52700,53300,29178697
20191211,51500,52200,51400,51900,11379521
20191210,51000,51600,50700,51500,6882771
20191209,50900,51400,50700,51200,8470627
20191206,50100,50900,49950,50400,11414563
20191205,50200,50400,49500,49500,10449715
20191204,49600,49850,49000,49450,13246549
20191203,49800,50300,49500,49900,12059812
20191202,50900,51300,50400,50400,18877252
20191129,51200,51400,50200,50300,11179334
20191128,51900,52100,51300,51300,6833885
20191127,51800,52300,51600,52200,7546261
20191126,51900,52900,51800,51800,27372226
20191125,52200,52600,51700,51800,9050625
20191122,51000,51600,50900,51600,8478310
20191121,51600,52100,50600,51000,14298646
20191120,53400,53400,52000,52000,12560070
20191119,53200,53500,52700,53500,8907177
20191118,53600,53800,53200,53500,7746554
20191115,52900,53700,52600,53700,9703360
20191114,51900,52800,51900,52800,12010018
20191113,52500,52500,52000,52500,6225196
20191112,51800,52600,51600,52600,6576148
20191111,52200,52200,51400,51600,8185952
20191108,53200,53300,52000,52100,11603290
20191107,53400,53400,52400,52900,9257116
20191106,52900,53500,52700,53300,14361133
20191105,52400,52700,52100,52700,10581034
20191104,51700,52300,51400,52300,13012411
20191101,50600,51200,50400,51200,8467846
20191031,51000,51400,50300,50400,10304777
20191030,50700,50800,50200,50400,8959435
20191029,51400,51700,50800,51100,7581629
20191028,50700,51500,50700,51300,6431522
20191025,50800,51200,50500,50900,7879897
20191024,52500,52500,50500,50700,21185785
20191023,51300,51500,50800,51200,8663880
20191022,50800,51500,50700,51200,10898729
20191021,49900,50400,49800,50300,4406531
20191018,50300,50900,49650,49900,8483106
20191017,50500,50600,50100,50500,6701380
20191016,50700,50900,50400,50700,9136282
20191015,49900,50200,49900,50100,6058105
20191014,50000,50300,49850,50000,11130635
20191011,49000,49450,48800,49150,7783275
20191010,48200,49200,48000,48550,18639855
20191008,47900,49000,47600,48900,14239367
20191007,48350,48700,47650,47750,7047273
20191004,47400,48650,47350,48000,9331695
20191002,48350,48400,47600,47600,8382463
20191001,48900,49100,48650,48850,6206035
20190930,48050,49250,47900,49050,9497119
20190927,48000,48700,48000,48400,8048041
20190926,49000,49250,48900,49200,8494756
20190925,49200,49350,48800,48900,9187141
20190924,49050,49650,48850,49500,7871955
20190923,49250,49300,49000,49300,7568553
20190920,49400,49600,49100,49200,15460210
20190919,48050,49200,47850,49150,16461413
20190918,46900,47700,46800,47700,10413027
20190917,47000,47100,46800,46900,7006280
20190916,47000,47100,46400,47100,15550926
20190911,47300,47400,46800,47150,16141619
20190910,47100,47200,46550,47000,9231792
20190909,46450,47000,46300,46900,9434157
20190906,46500,46500,45850,46300,9896562
20190905,44800,46100,44450,45700,18297430
20190904,43250,44100,43150,44100,12441837
20190903,43550,43650,43100,43250,9774941
20190902,44850,44850,43650,43800,7185537
20190830,43750,44300,43750,44000,9899073
20190829,44200,44200,43050,43400,10768862
20190828,44100,44400,43750,44150,5758333
20190827,43650,44200,43600,44050,16883932
20190826,43050,43800,42950,43600,7954949
20190823,43800,44200,43650,43950,5017381
20190822,44500,44700,43850,44050,8061177
20190821,44350,44800,44150,44500,6571717
20190820,43950,44600,43550,44450,8434205
20190819,44350,44350,43500,43600,6014218
20190816,43800,43900,43300,43900,9528115
20190814,43900,44250,43500,43700,8750135
20190813,43500,43500,42950,43000,7276979
20190812,44000,44000,43550,43700,8466169
20190809,43250,43350,43050,43150,9685147
20190808,43250,43500,42650,42650,16926881
20190807,43600,43900,43100,43200,10002533
20190806,42500,43800,42500,43500,15083824
20190805,44350,44600,43600,43950,14214086
20190802,44550,45500,44300,44950,12151374
20190801,44900,45500,44850,45200,7811181
20190731,46200,46600,45000,45350,12872916
20190730,46300,46850,46300,46550,5551014
20190729,46800,47050,46000,46100,6856846
20190726,46650,47150,46550,47150,7873886
20190725,47150,47200,46600,47200,8408838
20190724,47100,47150,46250,46400,8756522
20190723,47350,47550,47050,47300,9061381
20190722,46800,47300,46600,47200,9009109
20190719,46650,46950,46600,46800,8819393
20190718,46450,46450,45650,46100,5143554
20190717,46150,46350,45950,46050,5216602
20190716,46450,46850,46300,46850,7407824
20190715,45950,46650,45750,46450,4717226
20190712,46350,46400,45800,46300,5245804
20190711,46350,46550,46150,46200,10989751
20190710,45550,46150,45500,45550,9253930
20190709,44850,45450,44700,45100,7646421
20190708,44750,44800,44350,44400,7823843
20190705,45950,45950,45250,45650,7235395
20190704,45250,46200,45250,46000,6365573
20190703,45750,46350,45200,45400,9669368
20190702,46200,46900,45850,46250,8463073
20190701,47350,47400,46250,46600,11383522
20190628,47000,47000,46700,47000,12949231
20190627,46000,46600,45750,46500,12603534
20190626,45800,46000,45600,45700,9226097
20190625,45200,45800,45200,45600,7076774
20190624,45200,45800,45200,45500,6085066
20190621,45750,45800,45200,45700,9454913
20190620,44850,45500,44850,45500,7147785
