일자,개인투자자,외국인투자자,기관계,금융투자,보험,투신,기타금융,은행,연기금등,사모펀드,국가,기타법인,내외국인
20200107,1350,-4927,2632,7271,-2885,6813,55,205,-10194,1367,0,-417,1362
20200106,23110,42705,-66329,-89532,1465,6226,321,88,10357,4746,0,210,304
20200103,66485,61435,-123333,-184098,4347,20474,1513,1228,14179,19024,0,-5131,543
20200102,152706,-30775,-130414,-137409,2928,-670,3238,498,-2380,3382,0,7001,1481
20191230,70813,-176293,104239,84248,-10428,7195,1670,442,17051,4061,0,1361,-120
20191227,29597,-65476,34221,-51408,-29244,29055,-737,667,59828,26060,0,3413,-1754
20191226,-113415,-58618,162464,107448,5960,14071,2381,-1300,21952,11951,0,8510,1060
20191224,-16435,-56108,76564,76743,2034,-4546,808,-4116,6893,-1253,0,-4345,324
20191223,-45187,-13363,58023,83223,-7131,-3355,-66,-1300,-8923,-4425,0,-50,576
20191220,-20707,25939,-7826,11130,-3689,-3890,-1611,-751,-7195,-1819,0,3381,-787
20191219,-27363,82190,-60242,7190,-7629,-18319,-991,177,-24634,-16037,0,4907,507
20191218,-7191,106434,-94394,-5555,-11264,-57066,3501,561,-16450,-8122,0,-4978,128
20191217,-304290,345858,-17408,89573,-16321,-71071,-538,464,-9200,-10315,0,-22289,-1871
20191216,-119799,-2848,128474,169786,-19912,-32657,-1934,23,15800,-2631,0,-5084,-744
20191213,-385559,285759,134032,207242,-16832,-59112,-6917,-530,-104,10286,0,-32418,-1814
20191212,-356011,296661,72930,29479,30332,-9904,-3059,-456,14631,11907,0,-11683,-1897
20191211,-63860,24275,40286,82943,3277,-34904,349,-65,-5084,-6230,0,-465,-236
20191210,-48726,5835,42413,27849,6911,-1097,952,801,10522,-3526,0,639,-161
20191209,-43189,38895,5726,5755,4241,7750,833,272,-21840,8715,0,-1123,-309
20191206,-38557,-28918,65039,15518,2050,11309,389,962,33378,1433,0,2427,10
20191205,38536,-19534,-20792,-32481,3807,2609,541,670,3474,589,0,1805,-16
20191204,74002,-86232,7353,-20718,6570,1520,2,1962,13840,4178,0,4544,332
20191203,84001,-171167,85325,31120,3317,5163,1665,1736,36725,5599,0,1513,328
20191202,21892,-142970,121874,93856,3216,76,199,444,21763,2321,0,-855,58
20191129,145491,-142663,-14599,-10368,13076,2918,104,-282,-19493,-554,0,10983,788
20191128,54932,-84168,27409,14734,3987,5358,582,571,6468,-4290,0,1248,579
20191127,-12752,-29567,42066,32303,4323,4988,2,105,-2533,2878,0,295,-42
20191126,24415,-390288,363466,237740,13231,20293,-185,1062,62164,29159,0,2327,81
20191125,9073,-135846,127008,127849,1514,-8525,997,30,-5064,10207,0,114,-349
20191122,-8259,-96955,104693,87101,5591,-9682,113,509,13967,7093,0,354,167
20191121,50724,-179293,110534,65514,-2493,-9720,1150,513,48865,6706,0,17402,633
20191120,128330,-157538,11259,-11353,-778,-8686,3093,-579,36790,-7228,0,17433,516
20191119,21137,4734,-25461,-29659,-2904,101,2263,283,6401,-1947,0,-427,17
20191118,20596,-62875,37277,41085,-8474,817,636,101,4382,-1270,0,4873,129
20191115,-208388,-6516,230542,165111,-1809,3874,-2428,-132,66450,-524,0,-14720,-918
20191114,-8603,-71304,79616,146890,-408,-588,-1184,0,-43984,-21110,0,387,-96
20191113,19052,40578,-59636,-36225,-1,-2198,913,387,-32278,9765,0,168,-162
20191112,-20429,4891,16131,19035,-1904,-3777,0,-318,4402,-1307,0,-127,-465
20191111,28068,-24050,-7652,-5264,-5160,-11980,1401,873,12758,-279,0,3441,193
20191108,60864,-79984,15401,34663,-12522,-6020,29,780,7020,-8550,0,3069,651
20191107,15877,-30692,11342,31295,-8329,-17369,2707,1631,4235,-2829,0,3346,127
20191106,-105057,224300,-118331,-29097,-3975,-36976,-1450,-1495,-35678,-9661,0,-669,-243
20191105,-73647,126180,-45838,-7632,-13819,-16066,-1653,-4,-8099,1435,0,-5166,-1528
20191104,-151426,72516,99402,72433,6345,-4877,-1365,16,25645,1205,0,-19288,-1204
20191101,-24256,76991,-48879,-29353,-3209,193,305,-1,-11209,-5605,0,-3709,-147
20191031,-54802,21188,32143,-305,4849,173,-629,-326,21084,7297,0,1590,-119
20191030,27397,11613,-50563,-7042,-789,-10361,551,241,-27351,-5811,0,11305,248
20191029,5487,-48336,37523,31906,1400,-4241,714,-286,9649,-1619,0,5211,115
20191028,-70223,27873,43665,35988,-770,-11303,400,-749,17726,2374,0,-1002,-314
20191025,-9553,-32134,40618,24487,-2426,-923,-997,0,20677,-200,0,633,437
20191024,17870,-66097,45276,30302,-2561,-9380,11,-161,32241,-5177,0,2756,195
20191023,-5820,63627,-58593,-20651,-1229,-17159,-593,539,-18277,-1223,0,427,360
20191022,-212499,105439,111088,96821,-6721,-13314,-46,-273,31944,2678,0,-1229,-2799
20191021,-19206,-3502,22570,32006,-7309,-2001,0,251,2588,-2964,0,50,88
20191018,15669,73960,-92905,-11396,-4018,-25287,-1410,275,-39970,-11099,0,3693,-418
20191017,-17925,-7072,25607,24053,-3387,-11121,-72,220,21456,-5543,0,-671,60
20191016,-87038,47087,39688,38551,-2979,-5911,-5,1157,8792,83,0,447,-184
20191015,-38840,15267,23643,14580,-1582,-6538,-57,-127,19239,-1872,0,-42,-27
20191014,-165649,83697,83966,34783,1726,4777,90,-216,20868,21937,0,-1376,-638
20191011,-89854,85801,23504,7446,12158,7503,-980,-224,-14909,12510,0,-18012,-1439
20191010,-8480,39353,-26510,-74951,3535,1380,1507,745,53803,-12530,0,-4696,334
20191008,-54712,-9757,90559,49900,2083,-3357,1127,-2442,33753,9494,0,-26329,239
20191007,15336,-37320,22261,9118,206,-1180,1006,229,15108,-2226,0,-190,-87
20191004,-15731,-11376,27278,486,-1367,-4166,-1025,118,23979,9253,0,-180,9
20191002,56546,29543,-88243,-59924,-564,-2112,-41,2525,-34621,6494,0,984,1170
20191001,21388,-91197,69939,42479,-3981,-280,997,416,28376,1933,0,-486,356
20190930,-19981,25983,-5888,-7459,-7146,-3756,3,-1135,9323,4282,0,-427,314
20190927,19863,34997,-53826,-20913,-14757,-2644,-5,50,-9301,-6255,0,-1229,195
20190926,848,-5523,4225,24777,-4999,-3375,-1442,-70,-9699,-967,0,739,-290
20190925,-20178,-67295,73543,99720,-15861,-14288,-349,-499,12078,-7258,0,13799,132
20190924,-62663,-53476,107123,60429,-6011,-3870,-500,-491,61440,-3874,0,9513,-498
20190923,-29400,2540,26528,-7017,-3899,1412,271,163,40573,-4975,0,500,-168
20190920,-105285,17918,88298,-10009,-131,6336,-15,-736,98039,-5185,0,-835,-96
20190919,-166002,242301,-54224,-93126,-8861,862,-773,506,42729,4439,0,-20744,-1330
20190918,-118148,116803,2619,-12280,-7739,-8222,-1051,-374,35942,-3656,0,-126,-1149
20190917,-9442,-5866,-4672,-24438,-3660,-6417,-63,63,44093,-14251,0,20001,-20
20190916,-29096,-20831,29516,-10375,-7486,-6039,788,-396,61013,-7988,0,20383,28
20190911,-90969,11292,83816,45595,-7033,-25765,-1571,-618,92118,-18911,0,-4025,-114
20190910,-82738,63627,20310,7506,-2117,-1939,-675,725,21766,-4956,0,-1024,-175
20190909,-90733,102795,-9022,-19676,-720,-2715,951,-416,20220,-6667,0,-2917,-123
20190906,-88189,94266,-3186,-26160,261,4336,1444,477,10545,5911,0,-2737,-154
20190905,-197995,121380,80214,5385,7068,22515,1272,-483,3263,41192,0,-2984,-614
20190904,-5033,-164776,168773,116465,-205,3671,205,329,28684,19624,0,1061,-25
20190903,100580,-154075,51372,21136,-3752,-3724,0,104,41078,-3470,0,2025,97
20190902,32128,-70144,34596,3465,2333,1085,-359,408,27706,-42,0,3054,366
20190830,-49387,-72291,119909,44149,6025,5638,-700,-2243,64008,3033,0,2097,-329
20190829,53609,-86168,30794,-3913,803,209,-3,178,39826,-6307,0,1636,129
20190828,-24019,10595,13638,-17837,2421,5447,0,80,20557,2970,0,-62,-152
20190827,-62924,-41996,104778,65557,-452,6451,1012,256,19861,12092,0,195,-53
20190826,13871,-41165,30680,6741,-332,-7471,71,875,25339,5458,0,-3528,142
20190823,-12527,-8869,20825,-11820,-2735,-3815,0,81,39407,-293,0,560,12
20190822,18970,3705,-23198,-46719,-2114,4414,-11,-492,23916,-2191,0,414,108
20190821,-6943,-23835,30687,-39404,-3993,3180,0,691,70282,-68,0,23,68
20190820,-29102,48438,-17053,-43668,5618,4705,439,-957,18298,-1488,0,-2060,-222
20190819,21153,-79383,58369,13831,-2873,-4421,0,93,48794,2946,0,-85,-54
20190816,-15436,-11004,23396,-20765,4217,-1570,103,695,41179,-463,0,3105,-61
20190814,-9595,16596,-11197,-48765,16188,10574,1450,71,-2292,11578,0,4237,-41
20190813,50655,-114255,63421,-4287,-4950,-4809,24,348,67325,9769,0,-132,311
