지역,규모,연도,월,분양가
서울, 60㎡이하,2015,10,5652
서울, 60㎡초과 85㎡이하,2015,10,5882
서울, 85㎡초과 102㎡이하,2015,10,5721
서울, 102㎡초과,2015,10,5879
인천, 60㎡이하,2015,10,3488
인천, 60㎡초과 85㎡이하,2015,10,3119
인천, 85㎡초과 102㎡이하,2015,10,3545
인천, 102㎡초과,2015,10,3408
경기, 60㎡이하,2015,10,3126
경기, 60㎡초과 85㎡이하,2015,10,3239
경기, 85㎡초과 102㎡이하,2015,10,3496
경기, 102㎡초과,2015,10,3680
부산, 60㎡이하,2015,10,2950
부산, 60㎡초과 85㎡이하,2015,10,2999
부산, 85㎡초과 102㎡이하,2015,10,2957
부산, 102㎡초과,2015,10,3500
대구, 60㎡이하,2015,10,2614
대구, 60㎡초과 85㎡이하,2015,10,2696
대구, 85㎡초과 102㎡이하,2015,10,2557
대구, 102㎡초과,2015,10,2598
광주, 60㎡이하,2015,10,2253
광주, 60㎡초과 85㎡이하,2015,10,2439
대전, 60㎡이하,2015,10,2585
대전, 60㎡초과 85㎡이하,2015,10,2428
대전, 85㎡초과 102㎡이하,2015,10,2461
울산, 60㎡이하,2015,10,2422
울산, 60㎡초과 85㎡이하,2015,10,3040
울산, 85㎡초과 102㎡이하,2015,10,2951
울산, 102㎡초과,2015,10,2690
세종, 60㎡이하,2015,10,2572
세종, 60㎡초과 85㎡이하,2015,10,2657
세종, 85㎡초과 102㎡이하,2015,10,2644
세종, 102㎡초과,2015,10,2692
강원, 60㎡이하,2015,10,2286
강원, 60㎡초과 85㎡이하,2015,10,2212
강원, 85㎡초과 102㎡이하,2015,10,2061
강원, 102㎡초과,2015,10,2171
충북, 60㎡이하,2015,10,1919
충북, 60㎡초과 85㎡이하,2015,10,2033
충북, 85㎡초과 102㎡이하,2015,10,2102
충북, 102㎡초과,2015,10,2369
충남, 60㎡이하,2015,10,2206
충남, 60㎡초과 85㎡이하,2015,10,2101
충남, 85㎡초과 102㎡이하,2015,10,2743
충남, 102㎡초과,2015,10,2442
전북, 60㎡이하,2015,10,2127
전북, 60㎡초과 85㎡이하,2015,10,2056
전북, 85㎡초과 102㎡이하,2015,10,2377
전북, 102㎡초과,2015,10,2250
전남, 60㎡이하,2015,10,1999
전남, 60㎡초과 85㎡이하,2015,10,1922
전남, 85㎡초과 102㎡이하,2015,10,2262
전남, 102㎡초과,2015,10,2292
경북, 60㎡이하,2015,10,2204
경북, 60㎡초과 85㎡이하,2015,10,2145
경북, 85㎡초과 102㎡이하,2015,10,2308
경북, 102㎡초과,2015,10,2222
경남, 60㎡이하,2015,10,2239
경남, 60㎡초과 85㎡이하,2015,10,2305
경남, 85㎡초과 102㎡이하,2015,10,2890
경남, 102㎡초과,2015,10,3014
제주, 60㎡초과 85㎡이하,2015,10,2225
제주, 85㎡초과 102㎡이하,2015,10,2583
제주, 102㎡초과,2015,10,2574
서울, 60㎡이하,2015,11,6320
서울, 60㎡초과 85㎡이하,2015,11,5964
서울, 85㎡초과 102㎡이하,2015,11,7092
서울, 102㎡초과,2015,11,6551
인천, 60㎡이하,2015,11,3328
인천, 60㎡초과 85㎡이하,2015,11,3119
인천, 85㎡초과 102㎡이하,2015,11,3545
인천, 102㎡초과,2015,11,3408
경기, 60㎡이하,2015,11,3079
경기, 60㎡초과 85㎡이하,2015,11,3202
경기, 85㎡초과 102㎡이하,2015,11,3391
경기, 102㎡초과,2015,11,3724
부산, 60㎡이하,2015,11,2982
부산, 60㎡초과 85㎡이하,2015,11,3037
부산, 85㎡초과 102㎡이하,2015,11,2957
부산, 102㎡초과,2015,11,3739
대구, 60㎡이하,2015,11,2503
대구, 60㎡초과 85㎡이하,2015,11,2806
대구, 85㎡초과 102㎡이하,2015,11,2557
대구, 102㎡초과,2015,11,2743
광주, 60㎡이하,2015,11,2251
광주, 60㎡초과 85㎡이하,2015,11,2444
대전, 60㎡이하,2015,11,2585
대전, 60㎡초과 85㎡이하,2015,11,2428
대전, 85㎡초과 102㎡이하,2015,11,2461
울산, 60㎡이하,2015,11,2584
울산, 60㎡초과 85㎡이하,2015,11,3048
울산, 85㎡초과 102㎡이하,2015,11,2663
울산, 102㎡초과,2015,11,2874
세종, 60㎡이하,2015,11,2572
세종, 60㎡초과 85㎡이하,2015,11,2666
세종, 85㎡초과 102㎡이하,2015,11,2644
세종, 102㎡초과,2015,11,2749
강원, 60㎡이하,2015,11,2292
강원, 60㎡초과 85㎡이하,2015,11,2193
강원, 85㎡초과 102㎡이하,2015,11,2061
강원, 102㎡초과,2015,11,2171
충북, 60㎡이하,2015,11,1921
충북, 60㎡초과 85㎡이하,2015,11,2015
충북, 85㎡초과 102㎡이하,2015,11,1868
충북, 102㎡초과,2015,11,2277
충남, 60㎡이하,2015,11,2214
충남, 60㎡초과 85㎡이하,2015,11,2105
충남, 85㎡초과 102㎡이하,2015,11,2523
충남, 102㎡초과,2015,11,2468
전북, 60㎡이하,2015,11,2129
전북, 60㎡초과 85㎡이하,2015,11,2057
전북, 85㎡초과 102㎡이하,2015,11,2377
전북, 102㎡초과,2015,11,2282
전남, 60㎡이하,2015,11,1999
전남, 60㎡초과 85㎡이하,2015,11,1906
전남, 85㎡초과 102㎡이하,2015,11,2262
전남, 102㎡초과,2015,11,2176
경북, 60㎡이하,2015,11,2210
경북, 60㎡초과 85㎡이하,2015,11,2186
경북, 85㎡초과 102㎡이하,2015,11,2516
경북, 102㎡초과,2015,11,2370
경남, 60㎡이하,2015,11,2200
경남, 60㎡초과 85㎡이하,2015,11,2322
경남, 85㎡초과 102㎡이하,2015,11,2980
경남, 102㎡초과,2015,11,3043
제주, 60㎡초과 85㎡이하,2015,11,2225
제주, 85㎡초과 102㎡이하,2015,11,2583
제주, 102㎡초과,2015,11,2574
서울, 60㎡이하,2015,12,6321
서울, 60㎡초과 85㎡이하,2015,12,5966
서울, 85㎡초과 102㎡이하,2015,12,6513
서울, 102㎡초과,2015,12,6551
인천, 60㎡이하,2015,12,3328
인천, 60㎡초과 85㎡이하,2015,12,3119
인천, 85㎡초과 102㎡이하,2015,12,3545
인천, 102㎡초과,2015,12,3408
경기, 60㎡이하,2015,12,3293
경기, 60㎡초과 85㎡이하,2015,12,3314
경기, 85㎡초과 102㎡이하,2015,12,3449
